CODE,BOROUGH,YEAR,AGE,% Healthy,% Unhealthy,Green cover,Blue cover,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage with private outdoor space,Tree Cover,Income Deprivation,Employment Deprivation,Crime Deprivation
E09000005,Brent,2015,Reception,76.06,23.94,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.20,1.75,1.91
E09000006,Bromley,2015,Reception,78.60,21.40,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.70,3.33,3.50
E09000007,Camden,2015,Reception,78.61,21.39,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.07,2.88,2.15
E09000008,Croydon,2015,Reception,77.42,22.58,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,0.99,1.35,1.07
E09000009,Ealing,2015,Reception,75.12,24.88,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.46,1.84,2.24
E09000010,Enfield,2015,Reception,74.79,25.21,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.73,1.53,1.40
E09000011,Greenwich,2015,Reception,72.06,27.94,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.08,2.29,2.38
E09000012,Hackney1,2015,Reception,74.13,25.87,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.25,1.44,0.19
E09000013,Hammersmith and Fulham,2015,Reception,,,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.53,4.04,5.88
E09000014,Haringey,2015,Reception,75.02,24.98,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.67,1.80,0.75
E09000015,Harrow,2015,Reception,79.16,20.84,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.48,4.63,9.20
E09000016,Havering,2015,Reception,75.85,24.15,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.38,3.87,4.81
E09000017,Hillingdon,2015,Reception,77.43,22.57,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.23,3.46,2.10
E09000018,Hounslow,2015,Reception,77.14,22.86,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.18,3.37,2.80
E09000019,Islington,2015,Reception,76.78,23.22,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.45,2.20,0.14
E09000020,Kensington and Chelsea,2015,Reception,,,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,6.25,5.57,3.08
E09000021,Kingston upon Thames,2015,Reception,84.01,15.99,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.81,8.54,8.50
E09000022,Lambeth,2015,Reception,75.36,24.64,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.15,0.99,0.05
E09000023,Lewisham,2015,Reception,76.57,23.43,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.51,1.62,0.93
E09000024,Merton,2015,Reception,79.65,20.35,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.63,5.30,5.65
E09000025,Newham,2015,Reception,72.88,27.12,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.68,0.94,0.09
E09000026,Redbridge,2015,Reception,78.88,21.12,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2015,Reception,82.06,17.94,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2015,Reception,73.51,26.49,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2015,Reception,80.35,19.65,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2015,Reception,75.67,24.33,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2015,Reception,75.22,24.78,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2015,Reception,79.94,20.06,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2015,Reception,74.95,25.05,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2016,Reception,72.96,27.04,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.34,2.92,0.28
E09000003,Barnet,2016,Reception,78.69,21.31,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.19,2.52,4.58
E09000004,Bexley,2016,Reception,72.73,27.27,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.69,4.31,8.03
E09000005,Brent,2016,Reception,69.81,30.19,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.20,1.75,1.91
E09000006,Bromley,2016,Reception,78.97,21.03,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.70,3.33,3.50
E09000007,Camden,2016,Reception,77.17,22.83,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.07,2.88,2.15
E09000008,Croydon,2016,Reception,74.62,25.38,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,0.99,1.35,1.07
E09000009,Ealing,2016,Reception,79.22,20.78,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.46,1.84,2.24
E09000010,Enfield,2016,Reception,73.86,26.14,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.73,1.53,1.40
E09000011,Greenwich,2016,Reception,74.78,25.22,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.08,2.29,2.38
E09000012,Hackney1,2016,Reception,73.55,26.45,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.25,1.44,0.19
E09000013,Hammersmith and Fulham,2016,Reception,77.27,22.73,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.53,4.04,5.88
E09000014,Haringey,2016,Reception,77.44,22.56,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.67,1.80,0.75
E09000015,Harrow,2016,Reception,78.56,21.44,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.48,4.63,9.20
E09000016,Havering,2016,Reception,74.22,25.78,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.38,3.87,4.81
E09000017,Hillingdon,2016,Reception,77.31,22.69,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.23,3.46,2.10
E09000018,Hounslow,2016,Reception,76.75,23.25,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.18,3.37,2.80
E09000019,Islington,2016,Reception,76.41,23.59,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.45,2.20,0.14
E09000020,Kensington and Chelsea,2016,Reception,76.48,23.52,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,6.25,5.57,3.08
E09000021,Kingston upon Thames,2016,Reception,83.09,16.91,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.81,8.54,8.50
E09000022,Lambeth,2016,Reception,74.79,25.21,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.15,0.99,0.05
E09000023,Lewisham,2016,Reception,77.05,22.95,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.51,1.62,0.93
E09000024,Merton,2016,Reception,77.55,22.45,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.63,5.30,5.65
E09000025,Newham,2016,Reception,74.40,25.60,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.68,0.94,0.09
E09000026,Redbridge,2016,Reception,74.84,25.16,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2016,Reception,82.59,17.41,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2016,Reception,72.83,27.17,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2016,Reception,81.34,18.66,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2016,Reception,74.35,25.65,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2016,Reception,76.80,23.20,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2016,Reception,80.36,19.64,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2016,Reception,74.49,25.51,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2017,Reception,72.86,27.14,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.34,2.92,0.28
E09000003,Barnet,2017,Reception,78.89,21.11,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.19,2.52,4.58
E09000004,Bexley,2017,Reception,75.88,24.12,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.69,4.31,8.03
E09000005,Brent,2017,Reception,68.72,31.28,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.20,1.75,1.91
E09000006,Bromley,2017,Reception,79.06,20.94,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.70,3.33,3.50
E09000007,Camden,2017,Reception,78.41,21.59,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.07,2.88,2.15
E09000008,Croydon,2017,Reception,76.52,23.48,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,0.99,1.35,1.07
E09000009,Ealing,2017,Reception,77.03,22.97,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.46,1.84,2.24
E09000010,Enfield,2017,Reception,73.96,26.04,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.73,1.53,1.40
E09000011,Greenwich,2017,Reception,72.68,27.32,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.08,2.29,2.38
E09000012,Hackney1,2017,Reception,74.40,25.60,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.25,1.44,0.19
E09000013,Hammersmith and Fulham,2017,Reception,77.39,22.61,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.53,4.04,5.88
E09000014,Haringey,2017,Reception,76.46,23.54,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.67,1.80,0.75
E09000015,Harrow,2017,Reception,79.08,20.92,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.48,4.63,9.20
E09000016,Havering,2017,Reception,74.71,25.29,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.38,3.87,4.81
E09000017,Hillingdon,2017,Reception,76.48,23.52,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.23,3.46,2.10
E09000018,Hounslow,2017,Reception,76.71,23.29,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.18,3.37,2.80
E09000019,Islington,2017,Reception,76.48,23.52,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.45,2.20,0.14
E09000020,Kensington and Chelsea,2017,Reception,76.83,23.17,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,6.25,5.57,3.08
E09000021,Kingston upon Thames,2017,Reception,84.11,15.89,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.81,8.54,8.50
E09000022,Lambeth,2017,Reception,75.49,24.51,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.15,0.99,0.05
E09000023,Lewisham,2017,Reception,80.31,19.69,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.51,1.62,0.93
E09000024,Merton,2017,Reception,79.57,20.43,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.63,5.30,5.65
E09000025,Newham,2017,Reception,75.12,24.88,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.68,0.94,0.09
E09000026,Redbridge,2017,Reception,75.99,24.01,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2017,Reception,82.77,17.23,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2017,Reception,73.25,26.75,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2017,Reception,80.89,19.11,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2017,Reception,77.15,22.85,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2017,Reception,76.01,23.99,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2017,Reception,79.85,20.15,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2017,Reception,80.52,19.48,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2018,Reception,73.19,26.81,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.48,3.11,1.54
E09000003,Barnet,2018,Reception,79.21,20.79,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.18,2.43,4.69
E09000004,Bexley,2018,Reception,76.71,23.29,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.61,4.18,4.80
E09000005,Brent,2018,Reception,71.48,28.52,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.31,1.79,1.90
E09000006,Bromley,2018,Reception,78.31,21.69,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.98,3.50,3.38
E09000007,Camden,2018,Reception,78.85,21.15,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.06,2.81,2.01
E09000008,Croydon,2018,Reception,76.08,23.92,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,1.26,1.36,3.41
E09000009,Ealing,2018,Reception,77.10,22.90,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.65,1.83,2.76
E09000010,Enfield,2018,Reception,74.72,25.28,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.83,1.71,4.10
E09000011,Greenwich,2018,Reception,73.56,26.44,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.09,2.17,2.54
E09000012,Hackney1,2018,Reception,74.49,25.51,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.12,1.32,0.84
