CODE,BOROUGH,YEAR,AGE,% Healthy,% Unhealthy,Green cover,Blue cover,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage with private outdoor space,Tree Cover,Income Deprivation,Employment Deprivation,Crime Deprivation
E09000006,Bromley,2014,Year 6,67.84,32.2,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.70,3.33,3.50
E09000007,Camden,2014,Year 6,63.36,36.6,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.07,2.88,2.15
E09000008,Croydon,2014,Year 6,60.36,39.6,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,0.99,1.35,1.07
E09000009,Ealing,2014,Year 6,59.89,40.1,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.46,1.84,2.24
E09000010,Enfield,2014,Year 6,57.48,42.5,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.73,1.53,1.40
E09000011,Greenwich,2014,Year 6,58.69,41.3,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.08,2.29,2.38
E09000012,Hackney1,2014,Year 6,57.46,42.5,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.25,1.44,0.19
E09000013,Hammersmith and Fulham,2014,Year 6,60.53,39.5,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.53,4.04,5.88
E09000014,Haringey,2014,Year 6,61.73,38.3,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.67,1.80,0.75
E09000015,Harrow,2014,Year 6,63.52,36.5,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.48,4.63,9.20
E09000016,Havering,2014,Year 6,62.74,37.3,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.38,3.87,4.81
E09000017,Hillingdon,2014,Year 6,64.67,35.3,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.23,3.46,2.10
E09000018,Hounslow,2014,Year 6,60.18,39.8,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.18,3.37,2.80
E09000019,Islington,2014,Year 6,59.55,40.4,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.45,2.20,0.14
E09000020,Kensington and Chelsea,2014,Year 6,62.53,37.5,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,6.25,5.57,3.08
E09000021,Kingston upon Thames,2014,Year 6,68.32,31.7,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.81,8.54,8.50
E09000022,Lambeth,2014,Year 6,57.00,43.0,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.15,0.99,0.05
E09000023,Lewisham,2014,Year 6,59.96,40.0,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.51,1.62,0.93
E09000024,Merton,2014,Year 6,62.23,37.8,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.63,5.30,5.65
E09000025,Newham,2014,Year 6,55.21,44.8,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.68,0.94,0.09
E09000026,Redbridge,2014,Year 6,59.38,40.6,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2014,Year 6,76.20,23.8,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2014,Year 6,55.36,44.6,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2014,Year 6,68.76,31.2,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2014,Year 6,55.97,44.0,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2014,Year 6,61.81,38.2,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2014,Year 6,64.51,35.5,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2014,Year 6,59.36,40.6,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2015,Year 6,55.26,44.74,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.34,2.92,0.28
E09000003,Barnet,2015,Year 6,63.40,36.60,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.19,2.52,4.58
E09000004,Bexley,2015,Year 6,60.76,39.24,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.69,4.31,8.03
E09000005,Brent,2015,Year 6,57.81,42.19,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.20,1.75,1.91
E09000006,Bromley,2015,Year 6,69.37,30.63,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.70,3.33,3.50
E09000007,Camden,2015,Year 6,60.70,39.30,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.07,2.88,2.15
E09000008,Croydon,2015,Year 6,60.03,39.97,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,0.99,1.35,1.07
E09000009,Ealing,2015,Year 6,59.32,40.68,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.46,1.84,2.24
E09000010,Enfield,2015,Year 6,57.89,42.11,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.73,1.53,1.40
E09000011,Greenwich,2015,Year 6,55.24,44.76,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.08,2.29,2.38
E09000012,Hackney1,2015,Year 6,56.48,43.52,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.25,1.44,0.19
E09000013,Hammersmith and Fulham,2015,Year 6,63.14,36.86,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.53,4.04,5.88
E09000014,Haringey,2015,Year 6,60.89,39.11,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.67,1.80,0.75
E09000015,Harrow,2015,Year 6,61.61,38.39,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.48,4.63,9.20
E09000016,Havering,2015,Year 6,61.63,38.37,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.38,3.87,4.81
E09000017,Hillingdon,2015,Year 6,61.54,38.46,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.23,3.46,2.10
E09000018,Hounslow,2015,Year 6,58.62,41.38,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.18,3.37,2.80
E09000019,Islington,2015,Year 6,59.99,40.01,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.45,2.20,0.14
E09000020,Kensington and Chelsea,2015,Year 6,66.04,33.96,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,6.25,5.57,3.08
E09000021,Kingston upon Thames,2015,Year 6,66.91,33.09,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.81,8.54,8.50
E09000022,Lambeth,2015,Year 6,59.80,40.20,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.15,0.99,0.05
E09000023,Lewisham,2015,Year 6,61.81,38.19,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.51,1.62,0.93
E09000024,Merton,2015,Year 6,63.71,36.29,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.63,5.30,5.65
E09000025,Newham,2015,Year 6,54.43,45.57,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.68,0.94,0.09
E09000026,Redbridge,2015,Year 6,58.19,41.81,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2015,Year 6,73.89,26.11,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2015,Year 6,56.36,43.64,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2015,Year 6,66.97,33.03,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2015,Year 6,56.77,43.23,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2015,Year 6,58.37,41.63,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2015,Year 6,64.36,35.64,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2015,Year 6,58.28,41.72,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2016,Year 6,54.62,45.38,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.34,2.92,0.28
E09000003,Barnet,2016,Year 6,65.50,34.50,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.19,2.52,4.58
E09000004,Bexley,2016,Year 6,58.58,41.42,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.69,4.31,8.03
E09000005,Brent,2016,Year 6,54.81,45.19,39.94,1.03,29.5,40.4,28.9,46.7,0.0,81.8,3.54,1.20,1.75,1.91
E09000006,Bromley,2016,Year 6,67.95,32.05,68.36,0.38,41.6,31.0,39.0,68.9,0.0,85.4,7.47,3.70,3.33,3.50
E09000007,Camden,2016,Year 6,58.82,41.18,43.28,0.91,56.8,50.5,15.5,88.4,0.0,61,1.97,3.07,2.88,2.15
E09000008,Croydon,2016,Year 6,61.18,38.82,55.53,0.13,17.9,37.3,36.1,44.6,0.0,83.3,6.49,0.99,1.35,1.07
E09000009,Ealing,2016,Year 6,59.74,40.26,43.96,0.94,45.5,53.6,40.5,72.1,0.0,82.8,5.21,1.46,1.84,2.24
E09000010,Enfield,2016,Year 6,58.23,41.77,52.95,5.16,53.1,17.9,66.1,25.7,69.5,84.1,3.93,0.73,1.53,1.40
E09000011,Greenwich,2016,Year 6,56.00,44.00,43.22,6.78,82.6,31.3,48.0,60.5,0.0,80.1,2.36,2.08,2.29,2.38
E09000012,Hackney1,2016,Year 6,57.18,42.82,38.79,2.23,89.9,23.8,64.5,63.9,97.0,68.6,1.38,1.25,1.44,0.19
E09000013,Hammersmith and Fulham,2016,Year 6,61.56,38.44,27.60,4.63,28.9,46.8,40.4,51.1,49.0,81,1.71,4.53,4.04,5.88
E09000014,Haringey,2016,Year 6,61.09,38.91,43.55,0.79,69.2,40.7,36.6,72.1,66.6,84.1,1.97,1.67,1.80,0.75
E09000015,Harrow,2016,Year 6,61.77,38.23,55.42,0.47,73.0,22.9,34.0,7.7,0.0,85.2,3.54,4.48,4.63,9.20
E09000016,Havering,2016,Year 6,60.13,39.87,65.98,3.51,65.7,19.5,23.2,44.6,0.0,89.7,4.62,4.38,3.87,4.81
E09000017,Hillingdon,2016,Year 6,59.78,40.22,54.60,3.26,27.0,29.3,47.7,43.0,0.0,87.7,3.14,3.23,3.46,2.10
E09000018,Hounslow,2016,Year 6,57.65,42.35,47.31,3.15,28.7,42.0,42.3,86.3,18.4,81.4,2.22,3.18,3.37,2.80
E09000019,Islington,2016,Year 6,60.70,39.30,34.88,0.27,93.7,58.2,9.6,52.0,44.9,70.7,2.12,2.45,2.20,0.14
E09000020,Kensington and Chelsea,2016,Year 6,63.57,36.43,30.37,2.31,52.5,84.1,34.2,99.8,6.6,81.7,1.55,6.25,5.57,3.08
E09000021,Kingston upon Thames,2016,Year 6,68.83,31.17,52.42,1.05,38.6,26.3,11.9,37.5,72.8,86.5,1.97,8.81,8.54,8.50
E09000022,Lambeth,2016,Year 6,60.07,39.93,32.91,1.62,82.3,46.5,28.3,66.8,0.0,75.1,1.84,1.15,0.99,0.05
E09000023,Lewisham,2016,Year 6,60.57,39.43,40.25,0.80,50.3,42.6,22.3,54.9,0.0,81.8,2.36,1.51,1.62,0.93
E09000024,Merton,2016,Year 6,63.81,36.19,48.78,0.85,58.2,39.0,31.4,37.5,67.3,88,2.75,5.63,5.30,5.65
E09000025,Newham,2016,Year 6,55.01,44.99,30.64,9.46,35.2,39.4,45.0,38.9,47.0,82.1,3.18,0.68,0.94,0.09
E09000026,Redbridge,2016,Year 6,58.30,41.70,53.56,1.41,11.1,28.0,54.5,63.1,51.2,87.8,4.10,2.61,3.01,2.66
E09000027,Richmond upon Thames,2016,Year 6,71.95,28.05,61.99,5.24,59.2,29.2,39.3,64.0,69.7,87.9,3.14,9.28,8.27,10.08
E09000028,Southwark,2016,Year 6,54.64,45.36,37.67,4.23,61.3,24.0,65.1,2.6,0.0,66.3,3.03,1.35,1.17,0.37
E09000029,Sutton,2016,Year 6,63.67,36.33,49.69,1.25,33.9,36.0,17.6,65.1,0.0,87.7,4.32,6.04,5.39,8.26
E09000030,Tower Hamlets,2016,Year 6,55.75,44.25,25.38,11.75,84.5,60.3,46.3,41.8,59.8,60.3,0.84,0.78,1.26,0.23
E09000031,Waltham Forest,2016,Year 6,57.90,42.10,44.36,6.24,31.3,53.0,0.0,26.5,100.0,86,4.32,1.98,2.07,0.61
E09000032,Wandsworth,2016,Year 6,63.72,36.28,39.01,3.20,62.9,8.9,26.9,90.2,62.0,72.9,2.85,3.02,3.15,3.22
E09000033,Westminster,2016,Year 6,57.32,42.68,31.20,4.41,40.9,58.6,21.1,94.0,0.0,63,1.65,3.28,3.19,2.85
E09000002,Barking and Dagenham,2017,Year 6,53.94,46.06,39.20,6.10,56.2,30.0,46.4,62.6,0.0,84.5,0.88,2.34,2.92,0.28
E09000003,Barnet,2017,Year 6,65.10,34.90,57.99,0.69,33.4,34.3,42.3,23.4,0.0,80,7.08,2.19,2.52,4.58
E09000004,Bexley,2017,Year 6,62.22,37.78,42.92,6.81,49.7,35.6,15.9,81.7,0.0,88.5,2.16,4.69,4.31,8.03
